,assist_percentage,away_losses,block_percentage,conference_losses,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws_per_field_goal_attempt,home_losses,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_points,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,points,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,major,abb,abbreviation,assists,away_wins,blocks,conference,conference_wins,defensive_rebounds,field_goal_attempts,field_goals,free_throws,games_played,home_wins,losses,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goals,opp_free_throw_attempts,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goals,personal_fouls,steals,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goals,wins,cluster,math_cluster,k_vs_math_match
10,51.3,6,7.8,8,0.522,0.46,0.301,456,0.73,0.22,3,8.7,105.4,28.9,53.8,9.2,0.46299999999999997,0.397,0.318,0.727,0.231,96.7,24.9,1758,8.6,0.389,0.337,46.7,0.502,15.5,0.435,64.6,1916,14.79,7.8,9.15,0.365,0.33799999999999997,53.3,0.5529999999999999,15.4,0.53,0.679,1,BUTLER,BUTLER,358,4,73,big-east,7,717,1517,698,333,28,12,9,1125,Butler,248,325,89,609,1521,604,483,351,238,468,157,591,199,847,322,930,405,471,142,553,187,965,316,964,511,19,4,3,False
11,41.1,8,6.7,9,0.47200000000000003,0.423,0.355,521,0.726,0.258,5,-8.3,94.6,24.5,51.5,9.5,0.49200000000000005,0.425,0.371,0.735,0.272,102.9,26.7,1916,7.3,0.389,0.349,50.7,0.534,15.5,0.473,65.9,1762,3.26,6.0,8.76,0.284,0.34600000000000003,49.3,0.514,17.4,0.45299999999999996,0.429,2,CALIFORNIA,CALIFORNIA,255,1,62,pac-12,6,689,1467,620,378,28,11,16,1130,University of California,222,333,100,684,1524,647,565,415,251,501,136,593,207,935,329,931,440,528,112,416,144,911,361,1051,476,12,1,1,True
12,53.4,6,8.1,10,0.486,0.42700000000000005,0.305,478,0.7070000000000001,0.21600000000000003,6,0.4,98.6,29.0,58.9,7.7,0.47700000000000004,0.419,0.293,0.741,0.217,98.2,30.8,1852,9.8,0.368,0.318,50.8,0.514,17.6,0.47700000000000004,69.2,1858,4.28,9.2,4.06,0.374,0.311,49.2,0.518,17.2,0.49700000000000005,0.519,1,CENTRAL-FLORIDA,CENTRAL-FLORIDA,357,4,81,aac,5,673,1565,669,338,27,8,13,1090,Central Florida,279,390,75,682,1581,662,463,343,299,488,185,582,185,981,385,999,477,450,174,585,182,952,371,980,487,14,3,3,True
13,58.3,5,12.5,4,0.504,0.446,0.387,605,0.6759999999999999,0.262,2,8.6,102.1,32.0,49.9,10.5,0.456,0.4,0.295,0.7340000000000001,0.21600000000000003,93.5,27.3,1816,9.5,0.34700000000000003,0.326,46.9,0.495,17.2,0.439,69.4,1984,12.66,9.3,6.44,0.361,0.317,53.1,0.536,17.6,0.519,0.667,1,CINCINNATI,CINCINNATI,407,4,131,aac,11,734,1564,698,409,27,12,9,1120,Cincinnati,300,321,105,637,1609,643,474,348,276,519,184,558,182,913,382,1051,461,487,180,564,179,1034,395,1000,519,18,3,4,False
14,55.8,7,7.9,9,0.505,0.431,0.28600000000000003,428,0.6779999999999999,0.19399999999999998,5,4.6,99.0,23.6,52.7,8.2,0.474,0.405,0.28300000000000003,0.716,0.203,94.4,24.9,1720,9.7,0.436,0.318,50.5,0.507,17.4,0.47200000000000003,66.5,1803,10.58,10.1,7.5,0.46399999999999997,0.321,49.5,0.53,16.7,0.526,0.519,2,CLEMSON,CLEMSON,360,3,67,acc,8,701,1497,645,290,27,10,13,1095,Clemson,218,319,66,705,1494,605,423,303,232,431,177,651,207,937,357,843,398,414,184,694,223,919,341,803,422,14,3,2,False
15,58.2,6,5.7,7,0.54,0.469,0.392,658,0.6729999999999999,0.264,4,4.8,106.1,26.0,50.0,7.7,0.513,0.441,0.23,0.73,0.168,101.3,24.2,2153,8.9,0.42200000000000004,0.33899999999999997,48.4,0.5379999999999999,16.2,0.516,69.7,2256,7.11,9.3,4.42,0.39,0.36200000000000004,51.6,0.5670000000000001,16.5,0.5379999999999999,0.633,1,COLORADO-STATE,COLORADO-STATE,458,5,59,mwc,10,804,1678,787,443,30,11,11,1220,Colorado State,262,398,79,744,1803,796,415,303,256,577,189,761,258,1000,386,1042,538,452,197,655,237,1066,394,1023,550,19,2,3,False
16,56.4,5,7.9,6,0.51,0.44,0.37,591,0.736,0.273,3,11.8,104.3,31.0,45.9,8.9,0.46299999999999997,0.408,0.256,0.7070000000000001,0.18100000000000002,92.5,23.8,1829,10.7,0.32,0.34,45.6,0.493,17.1,0.44,67.9,2064,16.38,8.3,8.28,0.387,0.364,54.4,0.55,17.0,0.488,0.7240000000000001,2,COLORADO,COLORADO,396,4,89,pac-12,10,783,1596,702,435,29,13,8,1165,Colorado,297,310,87,662,1653,675,423,299,245,549,211,529,180,907,382,1124,495,423,164,618,225,1080,385,978,477,21,4,4,True
17,51.3,7,15.5,8,0.475,0.41700000000000004,0.33,558,0.735,0.242,3,7.4,100.7,33.4,50.7,10.5,0.46399999999999997,0.414,0.35,0.7340000000000001,0.257,93.3,28.9,1868,10.1,0.299,0.33299999999999996,48.3,0.508,19.5,0.44799999999999995,69.0,2017,10.62,10.0,5.3,0.355,0.32799999999999996,51.7,0.515,17.0,0.466,0.5710000000000001,1,CONNECTICUT,CONNECTICUT,362,1,171,aac,7,710,1692,705,410,28,13,12,1160,Connecticut,352,331,115,702,1578,653,552,405,289,529,202,472,157,991,445,1106,496,520,201,601,197,1062,402,1091,508,16,3,2,False
18,56.7,4,6.2,4,0.552,0.47100000000000003,0.298,493,0.738,0.22,1,12.8,110.7,23.4,49.9,9.5,0.473,0.41600000000000004,0.226,0.713,0.161,97.9,29.3,1935,6.8,0.385,0.301,51.3,0.5,15.4,0.48700000000000004,70.3,2189,17.43,9.5,9.39,0.42,0.385,48.7,0.58,14.3,0.534,0.7859999999999999,1,CREIGHTON,CREIGHTON,442,6,67,big-east,11,761,1653,779,364,28,15,6,1125,Creighton,220,362,91,719,1747,726,394,281,315,464,135,672,202,1034,353,1075,524,428,187,694,267,981,314,959,512,22,4,4,True
19,56.1,7,7.8,6,0.535,0.45299999999999996,0.309,468,0.7609999999999999,0.235,1,9.8,108.5,25.2,49.9,9.4,0.48,0.42100000000000004,0.33,0.71,0.23399999999999999,98.7,24.4,1798,7.7,0.369,0.324,48.9,0.516,15.1,0.47700000000000004,65.7,1977,9.42,8.3,2.79,0.447,0.36700000000000005,51.1,0.569,14.8,0.521,0.556,1,DAVIDSON,DAVIDSON,385,4,74,atlantic-10,9,700,1516,686,356,27,10,12,1110,Davidson,222,316,79,658,1505,633,496,352,226,458,141,555,180,884,310,950,453,442,152,678,249,922,303,838,437,15,4,2,False
